trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
695,False,"{'a': 0.5, 'e': 0.879591}",30,0,-118.38906238802844,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
696,False,"{'a': 0.5, 'e': 0.87924375}",25,0,-79.63740495441971,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
697,False,"{'a': 0.5, 'e': 0.878896}",20,3,-29.20870782543288,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 0.87854775}",20,0,-123.22584554859492,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
699,False,"{'a': 0.5, 'e': 0.878199}",35,0,-157.7700980027532,"{0: 19, 1: 8, 2: 6, 3: 0, 4: 2}",0
700,False,"{'a': 0.5, 'e': 0.87784975}",20,0,-112.56449172681705,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
701,False,"{'a': 0.5, 'e': 0.8775}",20,0,-70.97059906102197,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
702,False,"{'a': 0.5, 'e': 0.8771497500000001}",20,0,-42.881377914019744,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
703,False,"{'a': 0.5, 'e': 0.876799}",20,1,-91.46541143237025,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
704,False,"{'a': 0.5, 'e': 0.87644775}",30,4,-90.3014731884391,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 2}",1
705,False,"{'a': 0.5, 'e': 0.876096}",30,0,-152.18126550836436,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
706,False,"{'a': 0.5, 'e': 0.87574375}",20,0,-45.47145780185378,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
707,False,"{'a': 0.5, 'e': 0.875391}",30,0,-119.79823295128327,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
708,False,"{'a': 0.5, 'e': 0.87503775}",30,0,-73.85052512870148,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
709,False,"{'a': 0.5, 'e': 0.874684}",25,12,-109.22592091771598,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 2}",1
710,False,"{'a': 0.5, 'e': 0.87432975}",35,10,-12.06448472603112,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.873975}",30,0,-126.70380855562466,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
712,False,"{'a': 0.5, 'e': 0.87361975}",20,0,-107.55594131739049,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
